go_name,go_id,rel_type,parent_terms
coenzyme biosynthetic process,null,null,""
evasion or tolerance by symbiont of host-produced reactive oxygen species,null,null,""
evasion or tolerance by symbiont of host-produced nitric oxide,null,null,""
entry of bacterium into host cell,GO:0035635,INSTANCE_OF,""
entry into host cell,null,null,""
viral entry into host cell,GO:0046718,INSTANCE_OF,""
active induction of host immune response by virus,null,null,""
2-oxoglutarate metabolic process,GO:0006103,INSTANCE_OF,""
porphyrin-containing compound metabolic process,GO:0006778,INSTANCE_OF,""
biological_process,GO:0008150,null,""
maternal determination of dorsal/ventral axis,GO:0008070,IS_A,GO:0008069
maternal determination of dorsal/ventral axis,GO:0008071,IS_A,GO:0008069
mesodermal cell migration,GO:0008078,IS_A,GO:0001667
axo-dendritic transport,GO:0008088,IS_A,GO:0010970
anterograde axonal transport,GO:0008089,IS_A,GO:0098930
retrograde axonal transport,GO:0008090,IS_A,GO:0098930
metabolic process,GO:0008152,IS_A,GO:0008150
actin polymerization or depolymerization,GO:0008154,IS_A,GO:0007015
glucocorticoid metabolic process,GO:0008211,IS_A,GO:0008202
protein alkylation,GO:0008213,IS_A,GO:0006464
protein dealkylation,GO:0008214,IS_A,GO:0006464
spermine metabolic process,GO:0008215,IS_A,GO:0006595
spermidine metabolic process,GO:0008216,IS_A,GO:0006595
regulation of blood pressure,GO:0008217,IS_A,GO:0065008
bioluminescence,GO:0008218,IS_A,GO:0044237
cell death,GO:0008219,IS_A,GO:0009987
opsonization,GO:0008228,IS_A,GO:0002252
head involution,GO:0008258,IS_A,GO:0048598
regulation of G protein-coupled receptor signaling pathway,GO:0008277,IS_A,GO:0009966
cell population proliferation,GO:0008283,IS_A,GO:0009987
torso signaling pathway,GO:0008293,IS_A,GO:0007169
associative learning,GO:0008306,IS_A,GO:0007612
gurken signaling pathway,GO:0008314,IS_A,GO:0007173
determination of adult lifespan,GO:0008340,IS_A,GO:0032501
glial cell migration,GO:0008347,IS_A,GO:0016477
asymmetric cell division,GO:0008356,IS_A,GO:0051301
maternal determination of anterior/posterior axis,GO:0008358,IS_A,GO:0008595
regulation of cell size,GO:0008361,IS_A,GO:0032535
chitin-based embryonic cuticle biosynthetic process,GO:0008362,IS_A,GO:0040003
larval chitin-based cuticle development,GO:0008363,IS_A,GO:0042337
pupal chitin-based cuticle development,GO:0008364,IS_A,GO:0042337
adult chitin-based cuticle development,GO:0008365,IS_A,GO:0040003
axon ensheathment,GO:0008366,IS_A,GO:0007272
light-induced release of internally sequestered calcium ion,GO:0008377,IS_A,GO:0051283
chaeta morphogenesis,GO:0008407,IS_A,GO:0009887
respiratory chain complex IV assembly,GO:0008535,IS_A,GO:0017004
epidermis development,GO:0008544,IS_A,GO:0009888
mystery cell differentiation,GO:0008583,IS_A,GO:0030154
male gonad development,GO:0008584,IS_A,GO:0008406
female gonad development,GO:0008585,IS_A,GO:0008406
imaginal disc-derived wing vein morphogenesis,GO:0008586,IS_A,GO:0009886
imaginal disc-derived wing margin morphogenesis,GO:0008587,IS_A,GO:0009886
regulation of smoothened signaling pathway,GO:0008589,IS_A,GO:0009966
regulation of Wnt signaling pathway,GO:0008591,IS_A,GO:2000050
regulation of Toll signaling pathway,GO:0008592,IS_A,GO:0009966
regulation of Notch signaling pathway,GO:0008593,IS_A,GO:0009966
photoreceptor cell morphogenesis,GO:0008594,IS_A,GO:0048667
attachment of spindle microtubules to kinetochore,GO:0008608,IS_A,GO:0022402
guanosine metabolic process,GO:0008617,IS_A,GO:1901068
7-methylguanosine metabolic process,GO:0008618,IS_A,GO:1901068
extrinsic apoptotic signaling pathway via death domain receptors,GO:0008625,IS_A,GO:0097191
intrinsic apoptotic signaling pathway in response to oxidative stress,GO:0008631,IS_A,GO:0097193
apoptotic mitochondrial changes,GO:0008637,IS_A,GO:0007005
carbohydrate transport,GO:0008643,IS_A,GO:0071702
dosage compensation by hyperactivation of X chromosome,GO:0009047,IS_A,GO:0007549
dosage compensation by inactivation of X chromosome,GO:0009048,IS_A,GO:0007549
catabolic process,GO:0009056,IS_A,GO:0008152
biosynthetic process,GO:0009058,IS_A,GO:0008152
aerobic respiration,GO:0009060,IS_A,GO:0045333
anaerobic respiration,GO:0009061,IS_A,GO:0045333
glutamine family amino acid metabolic process,GO:0009064,IS_A,GO:1901605
aspartate family amino acid metabolic process,GO:0009066,IS_A,GO:1901605
serine family amino acid metabolic process,GO:0009069,IS_A,GO:1901605
pyruvate family amino acid metabolic process,GO:0009078,IS_A,GO:1901605
homoserine metabolic process,GO:0009092,IS_A,GO:0009069
aromatic amino acid family biosynthetic process,GO:0009095,IS_A,GO:0009073
nucleotide metabolic process,GO:0009117,IS_A,GO:0006753
ribonucleoside metabolic process,GO:0009119,IS_A,GO:0009116
deoxyribonucleoside metabolic process,GO:0009120,IS_A,GO:0009116
nucleoside monophosphate metabolic process,GO:0009123,IS_A,GO:0006753
purine nucleoside monophosphate metabolic process,GO:0009126,IS_A,GO:0009123
pyrimidine nucleoside monophosphate metabolic process,GO:0009129,IS_A,GO:0009123
nucleoside diphosphate metabolic process,GO:0009132,IS_A,GO:0006753
purine nucleoside diphosphate metabolic process,GO:0009135,IS_A,GO:0009132
pyrimidine nucleoside diphosphate metabolic process,GO:0009138,IS_A,GO:0009132
